entry_id,user_id,date,habit_name,target_value,status,notes,timestamp
e_0_ex,1503960366,2016-03-25,Morning Exercise,30,done,,2025-10-26T02:24:07.631861
e_0_water,1503960366,2016-03-25,Drink Water,8,done,,2025-10-26T02:24:07.631861
e_0_read,1503960366,2016-03-25,Read,20,done,,2025-10-26T02:24:07.631861
e_1_ex,1503960366,2016-03-26,Morning Exercise,30,done,,2025-10-26T02:24:07.631968
e_1_water,1503960366,2016-03-26,Drink Water,8,done,,2025-10-26T02:24:07.631968
e_1_read,1503960366,2016-03-26,Read,20,done,,2025-10-26T02:24:07.631968
e_2_ex,1503960366,2016-03-27,Morning Exercise,30,done,,2025-10-26T02:24:07.632067
e_2_water,1503960366,2016-03-27,Drink Water,8,missed,,2025-10-26T02:24:07.632067
e_2_read,1503960366,2016-03-27,Read,20,done,,2025-10-26T02:24:07.632067
e_3_ex,1503960366,2016-03-28,Morning Exercise,30,done,,2025-10-26T02:24:07.632355
e_3_water,1503960366,2016-03-28,Drink Water,8,done,,2025-10-26T02:24:07.632355
e_3_read,1503960366,2016-03-28,Read,20,done,,2025-10-26T02:24:07.632355
e_4_ex,1503960366,2016-03-29,Morning Exercise,30,done,,2025-10-26T02:24:07.632471
e_4_water,1503960366,2016-03-29,Drink Water,8,partial,,2025-10-26T02:24:07.632471
e_4_read,1503960366,2016-03-29,Read,20,done,,2025-10-26T02:24:07.632471
e_5_ex,1503960366,2016-03-30,Morning Exercise,30,done,,2025-10-26T02:24:07.632577
e_5_water,1503960366,2016-03-30,Drink Water,8,done,,2025-10-26T02:24:07.632577
e_5_read,1503960366,2016-03-30,Read,20,done,,2025-10-26T02:24:07.632577
e_6_ex,1503960366,2016-03-31,Morning Exercise,30,done,,2025-10-26T02:24:07.632678
e_6_water,1503960366,2016-03-31,Drink Water,8,done,,2025-10-26T02:24:07.632678
e_6_read,1503960366,2016-03-31,Read,20,done,,2025-10-26T02:24:07.632678
e_7_ex,1503960366,2016-04-01,Morning Exercise,30,done,,2025-10-26T02:24:07.632793
e_7_water,1503960366,2016-04-01,Drink Water,8,done,,2025-10-26T02:24:07.632793
e_7_read,1503960366,2016-04-01,Read,20,done,,2025-10-26T02:24:07.632793
e_8_ex,1503960366,2016-04-02,Morning Exercise,30,done,,2025-10-26T02:24:07.632893
e_8_water,1503960366,2016-04-02,Drink Water,8,done,,2025-10-26T02:24:07.632893
e_8_read,1503960366,2016-04-02,Read,20,done,,2025-10-26T02:24:07.632893
e_9_ex,1503960366,2016-04-03,Morning Exercise,30,done,,2025-10-26T02:24:07.632997
e_9_water,1503960366,2016-04-03,Drink Water,8,done,,2025-10-26T02:24:07.632997
e_9_read,1503960366,2016-04-03,Read,20,done,,2025-10-26T02:24:07.632997
e_10_ex,1503960366,2016-04-04,Morning Exercise,30,done,,2025-10-26T02:24:07.633093
e_10_water,1503960366,2016-04-04,Drink Water,8,missed,,2025-10-26T02:24:07.633093
e_10_read,1503960366,2016-04-04,Read,20,done,,2025-10-26T02:24:07.633093
e_11_ex,1503960366,2016-04-05,Morning Exercise,30,done,,2025-10-26T02:24:07.633180
e_11_water,1503960366,2016-04-05,Drink Water,8,done,,2025-10-26T02:24:07.633180
e_11_read,1503960366,2016-04-05,Read,20,partial,,2025-10-26T02:24:07.633180
e_12_ex,1503960366,2016-04-06,Morning Exercise,30,done,,2025-10-26T02:24:07.633292
e_12_water,1503960366,2016-04-06,Drink Water,8,done,,2025-10-26T02:24:07.633292
e_12_read,1503960366,2016-04-06,Read,20,partial,,2025-10-26T02:24:07.633292
e_13_ex,1503960366,2016-04-07,Morning Exercise,30,done,,2025-10-26T02:24:07.633380
e_13_water,1503960366,2016-04-07,Drink Water,8,done,,2025-10-26T02:24:07.633380
e_13_read,1503960366,2016-04-07,Read,20,done,,2025-10-26T02:24:07.633380
e_14_ex,1503960366,2016-04-08,Morning Exercise,30,done,,2025-10-26T02:24:07.633481
e_14_water,1503960366,2016-04-08,Drink Water,8,partial,,2025-10-26T02:24:07.633481
e_14_read,1503960366,2016-04-08,Read,20,partial,,2025-10-26T02:24:07.633481
e_15_ex,1503960366,2016-04-09,Morning Exercise,30,done,,2025-10-26T02:24:07.633564
e_15_water,1503960366,2016-04-09,Drink Water,8,done,,2025-10-26T02:24:07.633564
e_15_read,1503960366,2016-04-09,Read,20,partial,,2025-10-26T02:24:07.633564
e_16_ex,1503960366,2016-04-10,Morning Exercise,30,done,,2025-10-26T02:24:07.633645
